Uncorrected efficiency,Corrected efficiency
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.826,0.04192075484771644
0.79,0.05814932548140514
0.7687687687687688,0.07459981715700793
0.72,0.08704943560339219
0.6953907815631263,0.100908710305135
0.6506506506506506,0.11035790109012959
0.6166166166166166,0.11985179296780979
0.577,0.1265733442179341
0.551,0.1347636717196829
0.5681362725450901,0.15340051648571745
0.5551102204408818,0.16411145371455757
0.549,0.17648598760262207
0.5435435435435435,0.1888770926699455
0.5506519558676028,0.20578209033797454
0.5551102204408818,0.22210423545230198
0.5711422845691383,0.24370235070311685
0.5566700100300903,0.2524249952476271
0.538,0.2584514034730207
0.5185185185185185,0.2631460224197657
0.5175526579739218,0.27676562438929997
0.5060240963855421,0.28447312063079555
0.49096385542168675,0.2895362055785519
0.4909819639278557,0.3031415574000403
0.4711830131445905,0.30401558660328765
0.45491388044579534,0.3062126155398471
0.47124117053481335,0.33039413865916384
0.46075433231396534,0.33596398857847587
0.44123711340206184,0.3341250476227779
0.43302180685358255,0.3400731047615715
